101,last,adjective,the one before,最後の,The year before last.
102,child,noun,"a very young person, between about 2 and 15",子供,A child is a little human.
103,tell,verb,to say or communicate information to someone,伝える; 話す,Just tell me what to say.
104,really,adverb,very,本当に；実に,You look really relieved.
105,call,verb,to phone someone,電話する,Ziri used the phone to call 911.
106,before,adverb,at a time earlier than the present; previously,以前に；前,It's worse than before.
107,company,noun,a business that sells things or provides services,会社,What does your company sell?
108,through,adjective,from one end or side of something to the other end or side,〜を通じて; 〜を通して；完全に,We walked through the park.
109,down,preposition,going from a higher position to a lower position,下へ；下って,I am going down the stairs.
110,show,verb,to explain or teach how something is done,（やり方を）見せる；教える,Show them how it's done.
111,life,noun,"all the living things (e.g., animals, plants, humans)",生命；人生；生活,Islam embraces all aspects of life.
112,man,noun,an adult male human being,男,Sami is an adult man.
113,change,verb,"to make or become different, or into something else",変える； 変わる,I'll change into something else.
114,place,verb,to put something in a certain location or position,置く；設置する；取り付ける,Place the book on the table.
115,long,adjective,large distance from one end to the other,長い,It's a long distance from here.
116,between,preposition,in the space that separates two objects,～の間に,Leave a space between the lines.
117,feel,verb,to be aware of or experience an emotion or sensation,感じる,It's okay to feel emotions.
118,too,adverb,say that something is more than you want,あまりに～すぎる；(私)も,More than enough is too much.
119,still,adverb,happening in the past and continuing into the present,まだ；それでも；なお,I still remember the past.
120,problem,noun,something difficult to deal with or causes trouble,問題,The problem was difficult to solve.
121,write,verb,to make letters and words on paper or a screen,書く,Write your letters with a pen.
122,same,adjective,identical; not different,同じ,We look exactly the same.
123,lot,noun,"A large quantity, or number taken together",たくさん,We get together a lot.
124,great,adjective,very good; fantastic; wonderful,すばらしい,You're doing just great.
125,try,verb,"to make an effort, to attempt to do something",試す；やってみる,Try to make every task effective.
126,leave,verb,to go away from; depart,去る,I need to leave right away.
127,number,noun,"symbols such as 1, 2, 56, 793",数字；番号,Add three to that number.
128,both,determiner,used to refer to two things at the same time,両方,Both sentences mean the same thing.
129,own,determiner,"yours, his, hers, etc.; not belonging to another",自分の,I have my own room.
130,part,noun,"some, but not all of a specific thing",一部；部分,"That's true, but only in part."
131,point,verb,to indicate something with your finger to others,指し示す,Point your finger at your choice.
132,little,adjective,"not great in size, amount, or degree; small",小さい,It's a little small.
133,help,verb,to act to enable a person to do something; assist,助ける,Please help the injured person.
134,ask,verb,to say to someone that you want something,尋ねる；求める；頼む,Ask me what I want.
135,meet,verb,to come together at a certain time or place,会合する,What time shall we meet?
136,start,noun,first time or place that a thing exists; beginning,始め；開始,What time does your first class start?
137,talk,verb,to say things or ideas to someone with words,話す,Did I say you could talk?
138,something,pronoun,thing that is not yet known or named,何か,There's something I haven't told you yet.
139,put,verb,to move or place a thing in a particular position,置く,She put everything in its place.
140,another,determiner,one more (thing); additional (thing),もう一つの；別の,I'll buy you another one later.
141,become,verb,to begin to be; grow to be; develop into,～になる,Become part of a growing community.
142,interest,verb,to make someone want to know about something,興味；関心,It might interest Tom.
143,country,noun,an area of land that is controlled by a government,国,How is the Algerian government managing the country?
144,old,adjective,"having existed for a long time, not young or new",古い；年とった；昔の；～歳の,He isn't young but old.
145,each,determiner,every one of two or more things,各；1つ1つの,He enumerated each one of them.
146,school,noun,building where you learn in classes with a teacher,学校；教習所,Children learn at school.
147,late,adjective,happening near the end of a given time,遅い,"Time to rest, it's getting late."
148,high,adjective,rising upward a great distance,高い,Mt. Fuji is 3776 meters high.
149,different,adjective,not of the same kind; unlike other things,異なる；いろいろな；変わった,I prefer things that are different.
150,off,adjective,away from; not on,～から離れて；休みの；停止して,Please turn the light off.
151,next,adjective,immediately after the previous one,次,Go left after the next corner.
152,end,noun,a point that marks the limit of something; finish,終わり,Summer was marking its end.
153,live,verb,to be alive,生きる,I'm alive because I live.
154,why,adverb,for what reason or purpose,なぜ,Why did the plan change?
155,while,conjunction,during the time that; at the same time,～の間に,"While you're killing time, time's killing you."
